"Matous Adam - Krystof Adam",1880
"Martin Guillerault - Claire Graff",1888
"Oliver Meindl - Ralf-Rainer Schmalstieg",1918
"Stepan Sedlacek - Aneta Egnerova",1917
"Jing Xu - Xuanang Xu",1890
"Jip Verwer - Ayla Rennehvammen-Hakonshel",1869
"Radim Stoklasa - Erik Srnec",1641
"Krzysztof Wieczorek - Kamil Wieczorek",1877
"Jan Sabla, jun. - Dalibor Gonda",1915
"Marcin Skalik - Joanna Skalik",1924
"Walter Dworschak - Michael Riedel",1920
"David Mas Martinez - Carlos Aliaga Ferna",1892
"David Cerny - Jan Havlik",1921
"Yuri Rabassa Roig - Mauro Esteve Ferrer",1822
"Stephane Le Camus - Adele Schramm",1894
"Yago Miranda Osset - David Ortiz Benito",1496
"Arnold Grubek - Doerthe Grubek",1895
"Juraj Cekan - Sarka Vondraskova",1893
"Marcus Ciesielski - Astrid Ciesielski",1897
"Jan Holecka - Milos Horvat",1866
"Boleslaw Radomski - Dariusz Lechowski",1898
"Lubomir Nosal - Barbora Chromjakova",1899
"Chris Barnes - Ian McDowell",1900
"Marek Velat - Anna Zichova",1901
"Olivier Riviere - Jerome Jireau",1916
"Xuebing Qian - Shaokang Hu",1919
"Lukas Behounek - Petr Jansky",1896
"Yuehan Wang - Peng Du",1922
"Kurt Norevik - Ola Tau Hatlestad",1870
"Jan Sabla, sen. - Peter Zavacky",1905
"Marcin Chrzaszcz - Michal Chrzaszcz",1925
"Marek Kralovensky - Martin Mojs",1906
"Marek Kachaniak - Lukasz Pawlak",1923
