name,lon,lat,type,width(nm)
SP,9.453456606662979,59.19299777733664,tp,2
SC 1/1,9.395970596588199,59.13411076293217,secret,2
SC 1/2,9.34368256113415,59.08035928419049,secret,2
TP1,9.31299312253744,59.04871921937879,tp,2
SC 2/1,9.193730847801252,59.05777091135693,secret,2
TP2,9.070855930716391,59.06697748932571,tp,2
TP3,9.156680343695232,58.97131116576571,tp,2
TP4,9.299545838744871,58.97736505419656,tp,2
SC 5/1,9.287394036395781,58.91714687803442,secret,2
SC 5/2,9.273611201817037,58.8486868487007,secret,2
TP5,9.265918751137734,58.81034384344219,tp,2
TP6,9.441221351691416,58.86007878065479,tp,2
SC 7/1,9.493342997774823,58.903098019316,secret,2
TP7,9.565849941784625,58.96272799425336,tp,2
SC 8/1,9.553830740959198,59.01348101612056,secret,2
SC 8/2,9.544508248522822,59.05272120175228,secret,2
SC 8/3,9.5338997367334,59.09726634043934,secret,2
FP,9.525746308670673,59.13147662874172,tp,2
